"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsFull","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","main_frame","loadEventStart","loadEventEnd","domContentLoadedEventStart","domContentLoadedEventEnd","URL","connections","final_base_page_request","final_base_page_request_id","final_url","domInteractive","firstPaint","firstContentfulPaint","firstMeaningfulPaint","renderBlockingCSS","renderBlockingJS","TTFB","basePageSSLTime","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","base_page_cdn","cpu.ParseHTML","cpu.HTMLDocumentParser::FetchQueuedPreloads","cpu.EventDispatch","cpu.MarkDOMContent","cpu.V8.GC_TIME_TO_SAFEPOINT","cpu.CommitLoad","cpu.ResourceFetcher::requestResource","cpu.EvaluateScript","cpu.v8.compile","cpu.ParseAuthorStyleSheet","cpu.FunctionCall","cpu.MarkLoad","cpu.UpdateLayoutTree","cpu.Layout","cpu.PrePaint","cpu.HitTest","cpu.Paint","cpu.Layerize","cpu.largestContentfulPaint::Candidate","cpu.Idle","tester","start_epoch","osVersion","os_version","osPlatform","date","browserVersion","browser_version","fullyLoadedCPUms","fullyLoadedCPUpct","document_URL","document_hostname","document_origin","domElements","domComplete","PerformancePaintTiming.first-paint","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","base_page_cname","base_page_dns_server","browser_name","eventName","test_run_time_ms","testUrl","Colordepth","Dpi","Images","Resolution","generated-content-percent","generated-content-size","meta-viewport","rendered-html","lastVisualChange","render","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","SpeedIndex","LargestContentfulPaintType","LargestContentfulPaintNodeType","chromeUserTiming.navigationStart","chromeUserTiming.fetchStart","chromeUserTiming.domLoading","chromeUserTiming.responseEnd","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.markAsMainFrame","chromeUserTiming.commitNavigationEnd","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.LayoutShift","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.LargestTextPaint","chromeUserTiming.LargestContentfulPaint","chromeUserTiming.TotalLayoutShift","chromeUserTiming.CumulativeLayoutShift","TTIMeasurementEnd","LastInteractive","testID","run","step","effectiveBps","domTime","aft","titleTime","domLoading","server_rtt","edge-processed","maxFID","TotalBlockingTime","effectiveBpsDoc","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id",
"390","390","571","31298","21142","217817","4441","11","11","7","9","1","1","99999","0","0","1","3DCA70E18FD083E037F50507E5EEE4A5","384","384","286","290","https://mpa.thibautwittevrongel.com/savedMenus.html","5","0","3A0845BBE4E3B57F38904633E23A3084","https://mpa.thibautwittevrongel.com/savedMenus.html","286","413.6000000015","419","657","3","3","178","55","50","100","100","-1","100","-1","-1","-1","-1","-1","7449","0","-1","-1","0","0","Cloudflare","1","0","0","0","0","0","17","1","1","0","3","0","5","11","0","0","0","0","0","529","nl-ams-gcp-a04-10.164.0.9","1683466336.6633","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683466338.6754","113.0.0.0","113.0.0.0","1020","13.7837837838","https://mpa.thibautwittevrongel.com/savedMenus.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","46","384","413.6000000015","413.6000000015","","","dora.ns.cloudflare.com","Chrome","Step_1","5645","https://mpa.thibautwittevrongel.com/savedMenus.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","46.45","0.86","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/util.js""></script>
<script src=""assets/js/savedMenus.js""></script>
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link href=""https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined"" rel=""stylesheet"">
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<p id=""backwards""><span class=""material-symbols-outlined"">arrow_back_ios</span>Back to profile</p>
<h2>Saved Menus</h2>
<template id=""savedMenuTemplate"">
<article class=""article"" data-id="""">
<p>date</p>
<h3>Recipe Name</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</template>

<article class=""article"" data-id=""81"">
<p>2023-05-06T14:27:40.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""82"">
<p>2023-05-06T19:47:46.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""83"">
<p>2023-05-06T19:48:48.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""84"">
<p>2023-05-06T19:51:17.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""85"">
<p>2023-05-07T13:23:40.000000Z</p>
<h3>performanceTest</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</main>

</body></html>","700","400","700","700","700","700","700","624","text","H1","37","15","203","195","292","292","296","390","202","202","203","203","390","390","419","419","419","592","656","419","419","4.83307E-5","4.83307E-5","3626","400","230507_AiDcV2_55E","1","1","554241","0","0","39","0","0","1","0","0","20948","439","2","1019","1951","3","5799","2051","3","5835","0","0","0","0","0","0","213136","1","12262","0","0","0","141","1","627","230507_AiDcV2_55E",
"435","435","598","31298","21142","217817","4441","11","11","7","9","1","1","99999","0","0","1","27806892A35102C3ED47DCFC21526958","417","417","288","291","https://mpa.thibautwittevrongel.com/savedMenus.html","5","0","2C48ACA6136692847C381773DDF4F844","https://mpa.thibautwittevrongel.com/savedMenus.html","288","485.1999999993","503","670","3","3","190","64","50","100","100","-1","100","-1","-1","-1","-1","-1","7442","0","-1","-1","0","0","Cloudflare","2","1","0","0","0","0","12","1","1","2","2","0","1","24","0","0","0","0","0","551","nl-ams-gcp-a03-10.164.0.8","1683466336.9665","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683466338.8984","113.0.0.0","113.0.0.0","949","13.1215469613","https://mpa.thibautwittevrongel.com/savedMenus.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","46","417","485.1999999993","485.1999999993","","","dora.ns.cloudflare.com","Chrome","Step_1","5858","https://mpa.thibautwittevrongel.com/savedMenus.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","46.45","0.86","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/util.js""></script>
<script src=""assets/js/savedMenus.js""></script>
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link href=""https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined"" rel=""stylesheet"">
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<p id=""backwards""><span class=""material-symbols-outlined"">arrow_back_ios</span>Back to profile</p>
<h2>Saved Menus</h2>
<template id=""savedMenuTemplate"">
<article class=""article"" data-id="""">
<p>date</p>
<h3>Recipe Name</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</template>

<article class=""article"" data-id=""81"">
<p>2023-05-06T14:27:40.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""82"">
<p>2023-05-06T19:47:46.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""83"">
<p>2023-05-06T19:48:48.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""84"">
<p>2023-05-06T19:51:17.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""85"">
<p>2023-05-07T13:23:40.000000Z</p>
<h3>performanceTest</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</main>

</body></html>","700","500","700","700","700","700","700","649","text","H1","52","26","229","225","306","306","309","435","228","228","228","228","435","435","502","502","502","636","669","503","503","4.83307E-5","4.83307E-5","3662","500","230507_AiDcV2_55E","2","1","533865","0","0","53","0","0","1","0","0","18126","439","2","1019","1951","3","5799","2051","3","5835","0","0","0","0","0","0","213136","1","10879","0","0","0","141","1","627","230507_AiDcV2_55E",
"383","383","576","31298","21142","217817","4441","11","11","7","9","1","1","99999","0","0","1","C7F0A3AF63A212DD0290C0102C496874","379","379","280","294","https://mpa.thibautwittevrongel.com/savedMenus.html","5","0","5C3AE3EB0D4AF2C24C0CCEB00FC369A0","https://mpa.thibautwittevrongel.com/savedMenus.html","280","407.6999999993","412","625","3","3","168","55","50","100","100","-1","100","-1","-1","-1","-1","-1","7447","0","-1","-1","0","0","Cloudflare","1","2","0","0","0","0","10","2","1","1","8","0","4","13","0","0","1","0","0","532","nl-ams-gcp-a01-10.164.0.6","1683466338.8681","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683466340.6352","113.0.0.0","113.0.0.0","740","10.1928374656","https://mpa.thibautwittevrongel.com/savedMenus.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","46","379","407.6999999993","407.6999999993","","","dora.ns.cloudflare.com","Chrome","Step_1","5504","https://mpa.thibautwittevrongel.com/savedMenus.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","46.45","0.86","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/util.js""></script>
<script src=""assets/js/savedMenus.js""></script>
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link href=""https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined"" rel=""stylesheet"">
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<p id=""backwards""><span class=""material-symbols-outlined"">arrow_back_ios</span>Back to profile</p>
<h2>Saved Menus</h2>
<template id=""savedMenuTemplate"">
<article class=""article"" data-id="""">
<p>date</p>
<h3>Recipe Name</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</template>

<article class=""article"" data-id=""81"">
<p>2023-05-06T14:27:40.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""82"">
<p>2023-05-06T19:47:46.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""83"">
<p>2023-05-06T19:48:48.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""84"">
<p>2023-05-06T19:51:17.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""85"">
<p>2023-05-07T13:23:40.000000Z</p>
<h3>performanceTest</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</main>

</body></html>","600","400","600","600","600","600","600","550","text","H1","33","12","190","183","284","284","298","383","190","190","190","190","383","383","411","411","411","606","625","412","412","4.83307E-5","4.83307E-5","3618","400","230507_AiDcV2_55E","3","1","533865","0","0","34","0","0","1","0","0","20655","439","2","1019","1951","3","5799","2051","3","5835","0","0","0","0","0","0","213136","1","2763","0","0","0","141","1","627","230507_AiDcV2_55E",
"381","381","557","31298","21142","218320","4944","11","11","7","9","1","1","99999","0","0","1","6DA334B74D744BA7032A7D48F3A2E32D","376","376","281","285","https://mpa.thibautwittevrongel.com/savedMenus.html","5","0","65AAD3EA1FBDDA564488EF62F9058245","https://mpa.thibautwittevrongel.com/savedMenus.html","281","406.700000003","412","613","3","3","176","54","21","100","100","-1","100","-1","-1","-1","-1","-1","7863","0","-1","-1","0","0","Cloudflare","1","1","0","0","0","0","14","1","2","1","3","0","3","14","0","0","0","0","0","516","nl-ams-gcp-a04-10.164.0.9","1683466346.0946","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683466347.994","113.0.0.0","113.0.0.0","879","12.1045392022","https://mpa.thibautwittevrongel.com/savedMenus.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","46","376","406.700000003","406.700000003","","","dora.ns.cloudflare.com","Chrome","Step_1","5637","https://mpa.thibautwittevrongel.com/savedMenus.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","46.45","0.86","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/util.js""></script>
<script src=""assets/js/savedMenus.js""></script>
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link href=""https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined"" rel=""stylesheet"">
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<p id=""backwards""><span class=""material-symbols-outlined"">arrow_back_ios</span>Back to profile</p>
<h2>Saved Menus</h2>
<template id=""savedMenuTemplate"">
<article class=""article"" data-id="""">
<p>date</p>
<h3>Recipe Name</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</template>

<article class=""article"" data-id=""81"">
<p>2023-05-06T14:27:40.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""82"">
<p>2023-05-06T19:47:46.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""83"">
<p>2023-05-06T19:48:48.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""84"">
<p>2023-05-06T19:51:17.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""85"">
<p>2023-05-07T13:23:40.000000Z</p>
<h3>performanceTest</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</main>

</body></html>","600","400","600","600","600","600","600","550","text","H1","36","13","200","192","286","286","291","381","199","199","199","200","381","381","411","411","411","592","612","412","412","4.83307E-5","4.83307E-5","3616","400","230507_AiDcV2_55E","4","1","573018","0","0","38","0","0","1","0","0","24117","439","2","1019","2083","3","6927","2422","3","7321","0","0","0","0","0","0","213136","1","5535","0","0","0","141","1","627","230507_AiDcV2_55E",
"396","396","578","31298","21142","217817","4441","11","11","7","9","1","1","99999","0","0","1","7F16C4B98E864DB9222F5020F43CD60A","394","394","295","306","https://mpa.thibautwittevrongel.com/savedMenus.html","5","0","C2BD6ADE57A95F1E427C0E57C35B7DBE","https://mpa.thibautwittevrongel.com/savedMenus.html","295","436","437","637","3","3","175","58","50","100","100","-1","100","-1","-1","-1","-1","-1","7442","0","-1","-1","0","0","Cloudflare","1","1","1","0","0","0","14","2","1","1","2","0","2","15","0","0","1","2","0","536","nl-ams-gcp-a03-10.164.0.8","1683466346.2102","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683466348.1449","113.0.0.0","113.0.0.0","959","13.2049518569","https://mpa.thibautwittevrongel.com/savedMenus.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","46","394","436","436","","","dora.ns.cloudflare.com","Chrome","Step_1","5752","https://mpa.thibautwittevrongel.com/savedMenus.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","46.45","0.86","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/util.js""></script>
<script src=""assets/js/savedMenus.js""></script>
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link href=""https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined"" rel=""stylesheet"">
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<p id=""backwards""><span class=""material-symbols-outlined"">arrow_back_ios</span>Back to profile</p>
<h2>Saved Menus</h2>
<template id=""savedMenuTemplate"">
<article class=""article"" data-id="""">
<p>date</p>
<h3>Recipe Name</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</template>

<article class=""article"" data-id=""81"">
<p>2023-05-06T14:27:40.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""82"">
<p>2023-05-06T19:47:46.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""83"">
<p>2023-05-06T19:48:48.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""84"">
<p>2023-05-06T19:51:17.000000Z</p>
<h3>test</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>

<article class=""article"" data-id=""85"">
<p>2023-05-07T13:23:40.000000Z</p>
<h3>performanceTest</h3>
<div>
<span class=""material-symbols-outlined"">arrow_forward_ios</span>
</div>
</article>
</main>

</body></html>","600","400","600","600","600","600","600","550","text","H1","37","11","198","189","296","296","307","396","197","197","198","198","396","396","437","437","437","603","636","437","437","4.83307E-5","4.83307E-5","3637","400","230507_AiDcV2_55E","5","1","540488","0","0","38","0","0","1","0","0","20095","439","2","1019","1951","3","5799","2051","3","5835","0","0","0","0","0","0","213136","1","2763","0","0","0","141","1","627","230507_AiDcV2_55E",
