"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsFull","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","main_frame","loadEventStart","loadEventEnd","domContentLoadedEventStart","domContentLoadedEventEnd","URL","connections","final_base_page_request","final_base_page_request_id","final_url","domInteractive","firstPaint","firstContentfulPaint","firstMeaningfulPaint","renderBlockingCSS","renderBlockingJS","TTFB","basePageSSLTime","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","base_page_cdn","cpu.ParseHTML","cpu.HTMLDocumentParser::FetchQueuedPreloads","cpu.EventDispatch","cpu.MarkDOMContent","cpu.V8.GC_TIME_TO_SAFEPOINT","cpu.CommitLoad","cpu.ResourceFetcher::requestResource","cpu.EvaluateScript","cpu.v8.compile","cpu.ParseAuthorStyleSheet","cpu.UpdateLayoutTree","cpu.Layout","cpu.PrePaint","cpu.Paint","cpu.Layerize","cpu.FunctionCall","cpu.MarkLoad","cpu.largestContentfulPaint::Candidate","cpu.Idle","tester","start_epoch","osVersion","os_version","osPlatform","date","browserVersion","browser_version","fullyLoadedCPUms","fullyLoadedCPUpct","document_URL","document_hostname","document_origin","domElements","domComplete","PerformancePaintTiming.first-paint","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","base_page_cname","base_page_dns_server","browser_name","eventName","test_run_time_ms","testUrl","Colordepth","Dpi","Images","Resolution","generated-content-percent","generated-content-size","meta-viewport","rendered-html","lastVisualChange","render","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","SpeedIndex","LargestContentfulPaintType","LargestContentfulPaintNodeType","chromeUserTiming.navigationStart","chromeUserTiming.fetchStart","chromeUserTiming.domLoading","chromeUserTiming.responseEnd","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.markAsMainFrame","chromeUserTiming.commitNavigationEnd","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.LargestTextPaint","chromeUserTiming.LargestContentfulPaint","chromeUserTiming.TotalLayoutShift","chromeUserTiming.CumulativeLayoutShift","TTIMeasurementEnd","LastInteractive","testID","run","step","effectiveBps","domTime","aft","titleTime","domLoading","server_rtt","edge-processed","maxFID","TotalBlockingTime","effectiveBpsDoc","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","cpu.HitTest",
"362","362","403","13429","13429","4069","4069","7","7","7","6","1","0","99999","0","0","1","7F00DFDDA84B575C9DBEF4F27CED72B1","350","350","342","348","https://mpa.thibautwittevrongel.com/login.html","2","0","9E4399B0DC9EC99DFB7B080215A72A08","https://mpa.thibautwittevrongel.com/login.html","342","369.1999999993","381","381","3","2","200","60","50","100","100","-1","100","-1","-1","-1","-1","-1","6015","0","-1","-1","0","0","Cloudflare","2","0","0","0","0","0","6","1","7","1","5","23","0","1","0","6","0","0","351","nl-ams-gcp-a04-10.164.0.9","1683468339.8825","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683468341.7902","113.0.0.0","113.0.0.0","659","9.4964028777","https://mpa.thibautwittevrongel.com/login.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","24","350","369.1999999993","369.1999999993","","","dora.ns.cloudflare.com","Chrome","Step_1","5211","https://mpa.thibautwittevrongel.com/login.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","-1.83","-0.02","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link rel=""stylesheet"" href=""assets/css/auth.css"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/auth.js""></script>
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<form action=""index.html"" method=""post"">
<label for=""email"">Email</label>
<input type=""text"" name=""email"" id=""email"">
<label for=""password"">Password</label>
<input type=""password"" name=""password"" id=""password"">
<input type=""submit"" class=""button"" value=""Login"">
<p>Don’t have an account? <a href=""register.html"">Register here!</a></p>
</form>
</main>

</body></html>","400","400","400","400","400","400","400","400","text","H1","44","20","231","223","354","354","360","362","230","230","230","230","362","362","381","381","381","381","381","381","0","0","3441","400","230507_AiDcM9_5AV","1","1","20044","0","0","45","0","0","1","0","0","25117","365","1","944","1268","2","4943","2337","3","7313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230507_AiDcM9_5AV","",
"325","325","386","13429","11436","3479","3380","7","7","6","6","1","0","99999","0","0","1","BA7D80800B270AC95EB07A6895A23A00","316","316","314","315","https://mpa.thibautwittevrongel.com/login.html","2","0","98C9C74C66CCCE6DC150EB7F12ED8355","https://mpa.thibautwittevrongel.com/login.html","314","352.5","361","361","3","2","184","58","50","100","100","-1","100","-1","-1","-1","-1","-1","5521","0","-1","-1","0","0","Cloudflare","2","0","1","0","0","0","10","1","1","1","8","9","0","0","0","2","0","0","350","nl-ams-gcp-a03-10.164.0.8","1683468345.4138","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683468347.4266","113.0.0.0","113.0.0.0","770","11.0632183908","https://mpa.thibautwittevrongel.com/login.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","24","316","352.5","352.5","","","dora.ns.cloudflare.com","Chrome","Step_1","5326","https://mpa.thibautwittevrongel.com/login.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","-1.83","-0.02","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link rel=""stylesheet"" href=""assets/css/auth.css"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/auth.js""></script>
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<form action=""index.html"" method=""post"">
<label for=""email"">Email</label>
<input type=""text"" name=""email"" id=""email"">
<label for=""password"">Password</label>
<input type=""password"" name=""password"" id=""password"">
<input type=""submit"" class=""button"" value=""Login"">
<p>Don’t have an account? <a href=""register.html"">Register here!</a></p>
</form>
</main>

</body></html>","400","400","400","400","400","400","400","400","text","H1","43","18","215","206","323","323","324","325","214","214","215","215","325","325","361","361","361","361","361","361","0","0","3423","400","230507_AiDcM9_5AV","2","1","17222","0","0","44","0","0","1","0","0","23971","365","1","944","1125","2","3711","1890","3","5645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230507_AiDcM9_5AV","",
"317","317","357","13429","13429","3648","3648","7","7","7","6","1","0","99999","0","0","1","F64E4227FA3070BB766BCF79A08478FB","305","306","303","305","https://mpa.thibautwittevrongel.com/login.html","2","0","D36318758D7BDAF2B282B3B23AF5FAC8","https://mpa.thibautwittevrongel.com/login.html","303","335.3000000007","347","347","3","2","174","55","50","100","100","-1","100","-1","-1","-1","-1","-1","5657","0","-1","-1","0","0","Cloudflare","2","0","1","0","0","0","5","1","1","1","7","14","0","1","0","2","0","0","323","nl-ams-gcp-a01-10.164.0.6","1683468343.6098","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683468345.3973","113.0.0.0","113.0.0.0","559","8.1751824818","https://mpa.thibautwittevrongel.com/login.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","24","305","335.3000000007","335.3000000007","","","dora.ns.cloudflare.com","Chrome","Step_1","5123","https://mpa.thibautwittevrongel.com/login.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","-1.83","-0.02","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link rel=""stylesheet"" href=""assets/css/auth.css"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/auth.js""></script>
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<form action=""index.html"" method=""post"">
<label for=""email"">Email</label>
<input type=""text"" name=""email"" id=""email"">
<label for=""password"">Password</label>
<input type=""password"" name=""password"" id=""password"">
<input type=""submit"" class=""button"" value=""Login"">
<p>Don’t have an account? <a href=""register.html"">Register here!</a></p>
</form>
</main>

</body></html>","300","300","300","300","300","300","300","300","text","H1","40","18","202","197","315","315","317","317","201","201","201","202","317","317","347","347","347","347","347","347","0","0","3390","300","230507_AiDcM9_5AV","3","1","19934","0","0","41","0","0","1","0","0","25510","365","1","944","1218","2","4319","1966","3","5827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230507_AiDcM9_5AV","",
"322","322","371","13429","13429","4069","4069","7","7","7","6","1","0","99999","0","0","1","4A7A6A9A8FCC0F0AE608718A59D6FF80","312","312","280","281","https://mpa.thibautwittevrongel.com/login.html","2","0","0D248C0A91F77003B7C92BE5BB44868D","https://mpa.thibautwittevrongel.com/login.html","280","337.1999999993","348","348","3","2","169","58","50","100","100","-1","100","-1","-1","-1","-1","-1","6016","0","-1","-1","0","0","Cloudflare","1","0","0","0","0","0","9","1","1","2","9","20","0","1","0","1","0","0","324","nl-ams-gcp-a04-10.164.0.9","1683468348.3016","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683468350.2071","113.0.0.0","113.0.0.0","720","10.5109489051","https://mpa.thibautwittevrongel.com/login.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","24","312","337.1999999993","337.1999999993","","","dora.ns.cloudflare.com","Chrome","Step_1","5180","https://mpa.thibautwittevrongel.com/login.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","-1.83","-0.02","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link rel=""stylesheet"" href=""assets/css/auth.css"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/auth.js""></script>
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<form action=""index.html"" method=""post"">
<label for=""email"">Email</label>
<input type=""text"" name=""email"" id=""email"">
<label for=""password"">Password</label>
<input type=""password"" name=""password"" id=""password"">
<input type=""submit"" class=""button"" value=""Login"">
<p>Don’t have an account? <a href=""register.html"">Register here!</a></p>
</form>
</main>

</body></html>","400","400","400","400","400","400","400","400","text","H1","44","18","199","190","289","290","291","322","198","198","198","199","322","322","347","347","347","347","348","348","0","0","3407","400","230507_AiDcM9_5AV","4","1","20143","0","0","48","0","0","1","0","0","26594","365","1","944","1268","2","4943","2337","3","7313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230507_AiDcM9_5AV","0",
"324","324","364","13429","13429","3479","3479","7","7","7","6","1","0","99999","0","0","1","AE7A1663AE324ECA80C9FFB17F98D1C4","309","309","293","306","https://mpa.thibautwittevrongel.com/login.html","2","0","E1600BB9E34E5E5A95C69838E1395B69","https://mpa.thibautwittevrongel.com/login.html","293","318.299999997","333","333","3","2","168","55","50","100","100","-1","100","-1","-1","-1","-1","-1","5524","0","-1","-1","0","0","Cloudflare","1","0","0","0","0","0","4","1","1","1","6","12","0","0","0","15","0","0","322","nl-ams-gcp-a01-10.164.0.6","1683468351.7335","Linux 5.4.0-1104-gcp","Linux 5.4.0-1104-gcp","x86_64 x86_64","1683468353.6093","113.0.0.0","113.0.0.0","580","8.4302325581","https://mpa.thibautwittevrongel.com/login.html","mpa.thibautwittevrongel.com","https://mpa.thibautwittevrongel.com","24","309","318.299999997","318.299999997","","","dora.ns.cloudflare.com","Chrome","Step_1","5129","https://mpa.thibautwittevrongel.com/login.html","24","{""dppx"":1,""dpcm"":37.79527559055118,""dpi"":96}","[]","{""absolute"":{""height"":1200,""width"":1920},""available"":{""height"":1200,""width"":1920}}","-1.83","-0.02","width=device-width, initial-scale=1.0","<html lang=""en""><head>
<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<link rel=""stylesheet"" href=""assets/css/reset.css"">
<link rel=""stylesheet"" href=""assets/css/screen.css"">
<link rel=""stylesheet"" href=""assets/css/auth.css"">
<script src=""assets/js/api.js""></script>
<script src=""assets/js/auth.js""></script>
<title>Plan To Plate</title>
</head>
<body>
<header>
<h1><a href=""index.html"">Plan To Plate</a></h1>
<a href=""login.html"">login</a>
</header>
<main>
<form action=""index.html"" method=""post"">
<label for=""email"">Email</label>
<input type=""text"" name=""email"" id=""email"">
<label for=""password"">Password</label>
<input type=""password"" name=""password"" id=""password"">
<input type=""submit"" class=""button"" value=""Login"">
<p>Don’t have an account? <a href=""register.html"">Register here!</a></p>
</form>
</main>

</body></html>","300","300","300","300","300","300","300","300","text","H1","43","22","200","194","308","308","320","324","199","199","199","200","324","324","333","333","333","333","333","333","0","0","3404","300","230507_AiDcM9_5AV","5","1","17750","0","0","44","0","0","1","0","0","22301","365","1","944","1125","2","3711","1890","3","5645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230507_AiDcM9_5AV","",
